COMPONENT CONCAT > Lcom/kashkick/kashkickapp/ResetImageView;->addImageView(Ljava/lang/String;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/react/bridge/NativeModule']
COMPONENT CONCAT > Lcom/facebook/login/LoginManager;->logInWithReadPermissions(Landroidx/fragment/app/Fragment;Lcom/facebook/CallbackManager;Ljava/util/Collection;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/reactnative/androidsdk/FBAppLinkModule;->fetchDeferredAppLink(Lcom/facebook/react/bridge/Promise;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/react/bridge/NativeModule']
COMPONENT CONCAT > Lcom/facebook/internal/CustomTab;->getURIForAction(Ljava/lang/String;Landroid/os/Bundle;)Landroid/net/Uri; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/internal/WorkQueue;->validate()V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/share/widget/MessageDialog;->registerCallbackImpl(Lcom/facebook/internal/CallbackManagerImpl;Lcom/facebook/FacebookCallback;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/share/Sharer', 'Lcom/facebook/share/Sharer', 'Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/reactnative/androidsdk/FBShareDialogModule;->show(Lcom/facebook/react/bridge/ReadableMap;Lcom/facebook/react/bridge/Promise;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/react/bridge/NativeModule']
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/GameFeaturesLibrary;->performHapticFeedback(Landroid/content/Context;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/login/LoginManager;->logIn(Landroidx/fragment/app/Fragment;Ljava/util/Collection;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/InAppPurchaseLibrary;->purchase(Landroid/content/Context;Ljava/lang/String;Ljava/lang/String;Lcom/facebook/gamingservices/cloudgaming/DaemonRequest$Callback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/internal/FetchedAppGateKeepersManager;->setRuntimeGateKeeper$default(Ljava/lang/String;Lcom/facebook/internal/gatekeeper/GateKeeper;ILjava/lang/Object;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/FriendFinderDialog;->show(Ljava/lang/Object;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/messenger/MessengerUtils;->shareToMessenger(Landroid/app/Activity;ILcom/facebook/messenger/ShareToMessengerParams;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/internal/NativeProtocol;-><clinit>()V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/FriendFinderDialog;-><clinit>()V < extends Ljava/lang/Object, implements ['Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/GraphRequest;->toHttpConnection([Lcom/facebook/GraphRequest;)Ljava/net/HttpURLConnection; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/GraphRequest;-><init>(Lcom/facebook/AccessToken;Ljava/lang/String;Landroid/os/Bundle;Lcom/facebook/HttpMethod;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/share/widget/ShareDialog;->registerCallbackImpl(Lcom/facebook/internal/CallbackManagerImpl;Lcom/facebook/FacebookCallback;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/share/Sharer', 'Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/login/LoginManager;->resolveError(Landroidx/fragment/app/Fragment;Lcom/facebook/CallbackManager;Lcom/facebook/GraphResponse;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/share/ShareApi;->share(Lcom/facebook/share/model/ShareContent;Lcom/facebook/FacebookCallback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/GraphRequest;->serializeToUrlConnection$facebook_core_release(Lcom/facebook/GraphRequestBatch;Ljava/net/HttpURLConnection;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/reactnative/androidsdk/FBLoginManagerModule;->setLoginBehavior(Ljava/lang/String;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/react/bridge/NativeModule']
COMPONENT CONCAT > Lcom/facebook/login/LoginLogger;->logCompleteLogin(Ljava/lang/String;Ljava/util/Map;Lcom/facebook/login/LoginClient$Result$Code;Ljava/util/Map;Ljava/lang/Exception;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/AuthenticationTokenManager;->getInstance()Lcom/facebook/AuthenticationTokenManager; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/internal/gatekeeper/GateKeeperRuntimeCache;->setGateKeepers$default(Lcom/facebook/internal/gatekeeper/GateKeeperRuntimeCache;Ljava/lang/String;Ljava/util/List;ILjava/lang/Object;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/reactnative/androidsdk/FBAccessTokenModule;->setCurrentAccessToken(Lcom/facebook/react/bridge/ReadableMap;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/react/bridge/NativeModule']
COMPONENT CONCAT > Lcom/facebook/ProgressNoopOutputStream;->write([B)V < extends Ljava/io/OutputStream, implements ['Lcom/facebook/RequestOutputStream']
COMPONENT CONCAT > Lcom/facebook/login/DeviceLoginManager;->createLoginRequest(Ljava/util/Collection;)Lcom/facebook/login/LoginClient$Request; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/share/widget/ShareDialog;-><init>(Landroid/app/Fragment;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/share/Sharer', 'Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/appevents/AppEventsLoggerImpl;->augmentWebView(Landroid/webkit/WebView;Landroid/content/Context;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/PlayableAdsLibrary;->openAppStore(Landroid/content/Context;Lorg/json/JSONObject;Lcom/facebook/gamingservices/cloudgaming/DaemonRequest$Callback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/AppEventsLogger;->logPushNotificationOpen(Landroid/os/Bundle;Ljava/lang/String;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/internal/gatekeeper/GateKeeperRuntimeCache;->dumpGateKeepers$default(Lcom/facebook/internal/gatekeeper/GateKeeperRuntimeCache;Ljava/lang/String;ILjava/lang/Object;)Ljava/util/List; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/TournamentShareDialog;->showImpl(Ljava/lang/Object;Ljava/lang/Object;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/GraphRequest;->executeBatchAndWait(Lcom/facebook/GraphRequestBatch;)Ljava/util/List; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/TournamentJoinDialog;->registerCallbackImpl(Lcom/facebook/internal/CallbackManagerImpl;Lcom/facebook/FacebookCallback;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/appevents/AppEventsLogger;->onContextStop()V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/TournamentShareDialog;->getOrderedModeHandlers()Ljava/util/List; < extends Ljava/lang/Object, implements ['Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/internal/instrument/crashreport/CrashHandler;->enable()V < extends Ljava/lang/Object, implements ['Ljava/lang/Thread$UncaughtExceptionHandler']
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/AppToUserNotificationSender;->scheduleAppToUserNotification(Ljava/lang/String;Ljava/lang/String;Ljava/io/File;ILjava/lang/String;Lcom/facebook/GraphRequest$Callback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/InAppPurchaseLibrary;->purchaseSubscription(Landroid/content/Context;Ljava/lang/String;Lcom/facebook/gamingservices/cloudgaming/DaemonRequest$Callback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/GameFeaturesLibrary;->createShortcut(Landroid/content/Context;Lorg/json/JSONObject;Lcom/facebook/gamingservices/cloudgaming/DaemonRequest$Callback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/reactnative/androidsdk/FBMessageDialogModule;->canShow(Lcom/facebook/react/bridge/ReadableMap;Lcom/facebook/react/bridge/Promise;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/react/bridge/NativeModule']
COMPONENT CONCAT > Lcom/facebook/reactnative/androidsdk/FBSettingsModule;->setAutoLogAppEventsEnabled(Ljava/lang/Boolean;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/react/bridge/NativeModule']
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/DaemonRequest;->executeAndWait(Landroid/content/Context;Lorg/json/JSONObject;Lcom/facebook/gamingservices/cloudgaming/internal/SDKMessageEnum;)Lcom/facebook/GraphResponse; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/applinks/AppLinkData;->isAutoAppLink()Z < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/codeless/ViewIndexer;->buildAppIndexingRequest(Ljava/lang/String;Lcom/facebook/AccessToken;Ljava/lang/String;Ljava/lang/String;)Lcom/facebook/GraphRequest; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/InAppPurchaseLibrary;->getSubscribableCatalog(Landroid/content/Context;Lcom/facebook/gamingservices/cloudgaming/DaemonRequest$Callback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/applinks/AppLinkData;->createFromActivity(Landroid/app/Activity;)Lcom/facebook/applinks/AppLinkData; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/internal/ImageRequest;->getProfilePictureUri(Ljava/lang/String;II)Landroid/net/Uri; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/GraphRequest;->executeConnectionAsync(Landroid/os/Handler;Ljava/net/HttpURLConnection;Lcom/facebook/GraphRequestBatch;)Lcom/facebook/GraphRequestAsyncTask; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/AppEventsLogger;->augmentWebView(Landroid/webkit/WebView;Landroid/content/Context;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/GraphResponse;->constructErrorResponses(Ljava/util/List;Ljava/net/HttpURLConnection;Lcom/facebook/FacebookException;)Ljava/util/List; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/GameFeaturesLibrary;->shareTournamentAsync(Landroid/content/Context;Ljava/lang/Integer;Lorg/json/JSONObject;Lcom/facebook/gamingservices/cloudgaming/DaemonRequest$Callback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/AppEventsLogger;->newLogger(Landroid/content/Context;Ljava/lang/String;)Lcom/facebook/appevents/AppEventsLogger; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/InAppPurchaseLibrary;->onReady(Landroid/content/Context;Lcom/facebook/gamingservices/cloudgaming/DaemonRequest$Callback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/reactnative/androidsdk/FBGraphRequestModule;->start(Lcom/facebook/react/bridge/ReadableArray;ILcom/facebook/react/bridge/Callback;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/react/bridge/NativeModule']
COMPONENT CONCAT > Lcom/facebook/login/LoginManager;->retrieveLoginStatus(Landroid/content/Context;Lcom/facebook/LoginStatusCallback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/GraphRequest;->newPostRequestWithBundle(Lcom/facebook/AccessToken;Ljava/lang/String;Landroid/os/Bundle;Lcom/facebook/GraphRequest$Callback;)Lcom/facebook/GraphRequest; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/AppToUserNotificationSender;->scheduleAppToUserNotification(Ljava/lang/String;Ljava/lang/String;Landroid/net/Uri;ILjava/lang/String;Lcom/facebook/GraphRequest$Callback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/GraphResponse;->getRequestForPagedResults(Lcom/facebook/GraphResponse$PagingDirection;)Lcom/facebook/GraphRequest; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/CustomUpdate;->newCustomUpdateRequest(Lcom/facebook/gamingservices/model/CustomUpdateContent;Lcom/facebook/GraphRequest$Callback;)Lcom/facebook/GraphRequest; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/reactnative/androidsdk/FBLoginManagerModule;->getDefaultAudience(Lcom/facebook/react/bridge/Promise;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/react/bridge/NativeModule']
COMPONENT CONCAT > Lcom/facebook/GraphRequest;->toHttpConnection(Lcom/facebook/GraphRequestBatch;)Ljava/net/HttpURLConnection; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/internal/NativeProtocol;->createProxyAuthIntents$default(Landroid/content/Context;Ljava/lang/String;Ljava/util/Collection;Ljava/lang/String;ZZLcom/facebook/login/DefaultAudience;Ljava/lang/String;Ljava/lang/String;ZLjava/lang/String;ZZZLjava/lang/String;Ljava/lang/String;Ljava/lang/String;ILjava/lang/Object;)Ljava/util/List; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/reactnative/androidsdk/FBLoginManagerModule;->reauthorizeDataAccess(Lcom/facebook/react/bridge/Promise;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/react/bridge/NativeModule']
COMPONENT CONCAT > Lcom/facebook/gamingservices/GamingGroupIntegration;-><clinit>()V < extends Ljava/lang/Object, implements ['Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/internal/CustomTab;->setUri(Landroid/net/Uri;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/internal/BoltsMeasurementEventListener;->getInstance(Landroid/content/Context;)Lcom/facebook/internal/BoltsMeasurementEventListener; < extends Landroid/content/BroadcastReceiver, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/GameFeaturesLibrary;->getPayload(Landroid/content/Context;Lorg/json/JSONObject;Lcom/facebook/gamingservices/cloudgaming/DaemonRequest$Callback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/ProgressNoopOutputStream;->write([BII)V < extends Ljava/io/OutputStream, implements ['Lcom/facebook/RequestOutputStream']
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/InAppPurchaseLibrary;->consumePurchase(Landroid/content/Context;Ljava/lang/String;Lcom/facebook/gamingservices/cloudgaming/DaemonRequest$Callback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/InAppAdLibrary;->showRewardedVideo(Landroid/content/Context;Ljava/lang/String;Lcom/facebook/gamingservices/cloudgaming/DaemonRequest$Callback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/internal/instrument/anrreport/ANRDetector;-><clinit>()V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/ContextSwitchDialog;->registerCallbackImpl(Lcom/facebook/internal/CallbackManagerImpl;Lcom/facebook/FacebookCallback;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/internal/BoltsMeasurementEventListener;->onReceive(Landroid/content/Context;Landroid/content/Intent;)V < extends Landroid/content/BroadcastReceiver, implements []
COMPONENT CONCAT > Lcom/facebook/AuthenticationTokenTracker;-><init>()V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/share/widget/MessageDialog;-><clinit>()V < extends Ljava/lang/Object, implements ['Lcom/facebook/share/Sharer', 'Lcom/facebook/share/Sharer', 'Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/GraphResponse;->createResponsesFromStream$facebook_core_release(Ljava/io/InputStream;Ljava/net/HttpURLConnection;Lcom/facebook/GraphRequestBatch;)Ljava/util/List; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/FacebookSDKJSInterface;->sendEvent(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/PlayableAdsLibrary;->markGameLoaded(Landroid/content/Context;Lorg/json/JSONObject;Lcom/facebook/gamingservices/cloudgaming/DaemonRequest$Callback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/ContextSwitchDialog;->showImpl(Ljava/lang/Object;Ljava/lang/Object;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/FacebookActivity;->dump(Ljava/lang/String;Ljava/io/FileDescriptor;Ljava/io/PrintWriter;[Ljava/lang/String;)V < extends Landroidx/fragment/app/FragmentActivity, implements ['Lcom/newrelic/agent/android/api/v2/TraceFieldInterface', 'Landroidx/core/app/ActivityCompat$OnRequestPermissionsResultCallback', 'Landroidx/core/app/ActivityCompat$RequestPermissionsRequestCodeValidator']
COMPONENT CONCAT > Lcom/facebook/reactnative/androidsdk/FBAppEventsLoggerModule;->getAnonymousID(Lcom/facebook/react/bridge/Promise;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/react/bridge/NativeModule']
COMPONENT CONCAT > Lcom/facebook/FacebookBroadcastReceiver;->onReceive(Landroid/content/Context;Landroid/content/Intent;)V < extends Landroid/content/BroadcastReceiver, implements []
COMPONENT CONCAT > Lcom/facebook/internal/FacebookDialogFragment;->onCreateDialog(Landroid/os/Bundle;)Landroid/app/Dialog; < extends Landroidx/fragment/app/DialogFragment, implements ['Lcom/newrelic/agent/android/api/v2/TraceFieldInterface', 'Landroid/content/DialogInterface$OnCancelListener', 'Landroid/content/DialogInterface$OnDismissListener']
COMPONENT CONCAT > Lcom/facebook/AccessTokenManager;->getInstance()Lcom/facebook/AccessTokenManager; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/share/widget/GameRequestDialog;->registerCallbackImpl(Lcom/facebook/internal/CallbackManagerImpl;Lcom/facebook/FacebookCallback;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/appevents/internal/SessionInfo;->getStoredSessionInfo()Lcom/facebook/appevents/internal/SessionInfo; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/InternalAppEventsLogger;->getAnalyticsExecutor()Ljava/util/concurrent/Executor; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/applinks/FacebookAppLinkResolver;->getAppLinkFromUrlInBackground(Landroid/net/Uri;)Lcom/facebook/bolts/Task; < extends Ljava/lang/Object, implements ['Lcom/facebook/bolts/AppLinkResolver']
COMPONENT CONCAT > Lcom/facebook/FacebookSdk;->sdkInitialize(Landroid/content/Context;I)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/reactnative/androidsdk/FBAccessTokenModule;->refreshCurrentAccessTokenAsync(Lcom/facebook/react/bridge/Promise;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/react/bridge/NativeModule']
COMPONENT CONCAT > Lcom/facebook/appevents/integrity/RedactedEventsManager;->disable()V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/share/widget/ShareDialog;-><clinit>()V < extends Ljava/lang/Object, implements ['Lcom/facebook/share/Sharer', 'Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/share/widget/ShareDialog;->show(Landroid/app/Activity;Lcom/facebook/share/model/ShareContent;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/share/Sharer', 'Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/internal/instrument/threadcheck/ThreadCheckHandler;->workerThreadViolationDetected(Ljava/lang/Class;Ljava/lang/String;Ljava/lang/String;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/share/widget/GameRequestDialog;-><clinit>()V < extends Ljava/lang/Object, implements ['Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/reactnative/androidsdk/FBLoginManagerModule;->getLoginBehavior(Lcom/facebook/react/bridge/Promise;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/react/bridge/NativeModule']
COMPONENT CONCAT > Lcom/facebook/login/widget/DeviceLoginButton;-><init>(Landroid/content/Context;)V < extends Landroid/widget/Button, implements []
COMPONENT CONCAT > Lcom/facebook/internal/DialogPresenter;->canPresentWebFallbackDialogWithFeature(Lcom/facebook/internal/DialogFeature;)Z < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/AppEventsLoggerImpl;->getPushNotificationsRegistrationId()Ljava/lang/String; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/AppEventsLogger;->logEvent(Ljava/lang/String;D)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/OpenGamingMediaDialog;->onCompleted(Lcom/facebook/GraphResponse;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/GraphRequest$OnProgressCallback']
COMPONENT CONCAT > Lcom/facebook/share/widget/ShareDialog;->show(Landroidx/fragment/app/Fragment;Lcom/facebook/share/model/ShareContent;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/share/Sharer', 'Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/appevents/AppEventsLoggerImpl;->setFlushBehavior(Lcom/facebook/appevents/AppEventsLogger$FlushBehavior;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/aam/MetadataRule;->getEnabledRuleNames()Ljava/util/Set; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/TournamentJoinDialog;->showImpl(Ljava/lang/Object;Ljava/lang/Object;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/gamingservices/GamingGroupIntegration;->show(Ljava/lang/Object;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/share/ShareApi;->setMessage(Ljava/lang/String;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/reactnative/androidsdk/FBAppEventsLoggerModule;->setFlushBehavior(Ljava/lang/String;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/react/bridge/NativeModule']
COMPONENT CONCAT > Lcom/facebook/appevents/InternalAppEventsLogger;->getFlushBehavior()Lcom/facebook/appevents/AppEventsLogger$FlushBehavior; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/GameRequestDialog;->showImpl(Ljava/lang/Object;Ljava/lang/Object;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/login/LoginManager;->logIn(Landroidx/activity/result/ActivityResultRegistryOwner;Lcom/facebook/CallbackManager;Ljava/util/Collection;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/AppEventsLogger;->activateApp(Landroid/app/Application;Ljava/lang/String;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/codeless/ViewIndexer;->sendToServerUnityInstance(Ljava/lang/String;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/TournamentShareDialog;-><clinit>()V < extends Ljava/lang/Object, implements ['Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/InAppPurchaseLibrary;->cancelSubscription(Landroid/content/Context;Ljava/lang/String;Lcom/facebook/gamingservices/cloudgaming/DaemonRequest$Callback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/ContextCreateDialog;->getOrderedModeHandlers()Ljava/util/List; < extends Ljava/lang/Object, implements ['Lcom/facebook/FacebookDialog']
COMPONENT CONCAT > Lcom/facebook/login/LoginLogger;->logAuthorizationMethodNotTried(Ljava/lang/String;Ljava/lang/String;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/GraphRequest;->newDeleteObjectRequest(Lcom/facebook/AccessToken;Ljava/lang/String;Lcom/facebook/GraphRequest$Callback;)Lcom/facebook/GraphRequest; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/AppEventsLoggerImpl;->onContextStop()V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/InternalAppEventsLogger;->createInstance(Landroid/content/Context;Ljava/lang/String;)Lcom/facebook/appevents/InternalAppEventsLogger; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/AppEventsLoggerImpl;->activateApp(Landroid/app/Application;Ljava/lang/String;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/login/LoginLogger;->logUnexpectedError(Ljava/lang/String;Ljava/lang/String;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/AppEventsLogger;->clearUserData()V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/appevents/codeless/CodelessMatcher;->getParameters(Lcom/facebook/appevents/codeless/internal/EventBinding;Landroid/view/View;Landroid/view/View;)Landroid/os/Bundle; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/internal/SDKLogger;->logGameLoadComplete()V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/FacebookSdk;->getMonitorEnabled()Z < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/login/LoginLogger;->logStartLogin(Lcom/facebook/login/LoginClient$Request;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/gamingservices/cloudgaming/GameFeaturesLibrary;->createTournamentAsync(Landroid/content/Context;ILjava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/Integer;Lorg/json/JSONObject;Lcom/facebook/gamingservices/cloudgaming/DaemonRequest$Callback;)V < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/reactnative/androidsdk/FBShareDialogModule;->canShow(Lcom/facebook/react/bridge/ReadableMap;Lcom/facebook/react/bridge/Promise;)V < extends Ljava/lang/Object, implements ['Lcom/facebook/react/bridge/NativeModule']
COMPONENT CONCAT > Lcom/facebook/internal/CustomTab;->getUri()Landroid/net/Uri; < extends Ljava/lang/Object, implements []
COMPONENT CONCAT > Lcom/facebook/GraphRequest;->executeConnectionAsync(Ljava/net/HttpURLConnection;Lcom/facebook/GraphRequestBatch;)Lcom/facebook/GraphRequestAsyncTask; < extends Ljava/lang/Object, implements []
